B6C6F908-29EB-465E-8854-3672AF47C58D;01/09/04 00.00;;CBAC04;FYS & NAN
CB63736E-5955-4AFB-9FB3-35360D9044BA;01/09/04 00.00;;CBAC04;DES & INN
618CD45A-BBF7-4847-A778-3770E6E210B0;01/09/04 00.00;;CBAC04;MILJOTEK
F863005F-301C-41BD-B659-E50F1DD03540;01/09/04 00.00;;CBAC04;DES & INN
62A0AEDF-CE64-4B23-A912-72F6146EE526;01/09/04 00.00;;CBAC04;FYS & NAN
DDBD5FDF-9AD0-494D-AF05-455617CAD891;01/09/04 00.00;;CBAC04;PRO & KON
FA7F704D-B03B-4894-956B-31EEEEBABA55;01/09/04 00.00;;CBAC04;DES & INN
2BD0C601-0C01-4EB5-B5D8-9E7478DE4236;01/09/04 00.00;;CBAC04;DES & INN
421E77AC-B9CF-49AF-9AEF-00A4496DFF23;01/09/04 00.00;;CBAC04;ELEKTROTEK
14EF958C-0B50-4344-8473-CA9F35DEDD35;01/09/05 00.00;;CBAC04;DES & INN
21024A64-61E6-4F4B-A204-F37D781E77BB;01/09/09 00.00;;CBAC04;MED & TEK
C3A95102-06BD-47D7-A7C3-109C118DDEA3;01/09/09 00.00;;CBAC04;MED & TEK
10854564-7F7B-4462-BED2-DD48620C9F1B;01/09/09 00.00;;CBAC04;PRO & KON
93B90609-5EF8-403A-B888-506A81A1F0B2;01/09/09 00.00;;CBAC04;PRO & KON
C3307454-E0CD-4D0A-BB3F-99CC8B463EBF;01/09/09 00.00;;CBAC04;PRO & KON
181B0B50-2240-48C9-901E-5E4F0D078872;01/09/09 00.00;;CBAC04;SOFTWARE
A50F49A7-94E1-48A5-8D29-3B43841FF894;01/09/09 00.00;;CBAC04;ELEKTROTEK
08280810-FF8F-4B52-8A1B-B19BAE41299D;01/09/09 00.00;;CBAC04;PRO & KON
0707D0A8-D0B8-4A59-978A-21D941FEAD0A;01/09/04 00.00;;CBAC04;PRO & KON
816437F1-2BD4-49A5-B0D9-1B3909C9FD22;01/09/04 00.00;;CBAC04;PRO & KON
